sentiment|sentence|sentiment_score|confidence_rating|explanation_score|explanation|processed|vector|results|fold
0|A very, very, very slow-moving, aimless movie about a distressed, drifting young man.|-0.8166666666666668|0.8666666666666667|0.8333333333333334|"The explanations suggest that the sentiment towards the movie is negative due to the use of negative words like ""slow-moving,"" ""aimless,"" and ""distressed,"" as well as the repetition of ""very"" to emphasize the negativity."|[',', ',', 'slow-mov', ',', 'aimless', 'movi', 'distress', ',', 'drift', 'young', 'man', '.']|[0. 0. 0. ... 0. 0. 0.]|0.5063948035240173|4.0
0|Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.|-0.8000000000000002|0.9333333333333332|0.95|The average sentiment of the explanations suggests that the statement expresses a negative sentiment, specifically disappointment and dissatisfaction with flat characters and lack of audience engagement, reinforced by half the audience walking out.|['sure', 'lost', 'flat', 'charact', 'audienc', ',', 'nearli', 'half', 'walk', '.']|[0. 0. 0. ... 0. 0. 0.]|0.449319064617157|1.0
0|Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.|-0.8000000000000002|0.8833333333333333|0.8666666666666667|The explanations consistently point out the negative aspects of the movie, such as poor acting, a weak plot, and weak dialogue, which justify the negative sentiment rating.|['attempt', 'arti', 'black', 'white', 'clever', 'camera', 'angl', ',', 'movi', 'disappoint', 'becam', 'even', 'ridicul', 'act', 'poor', 'plot', 'line', 'almost', 'non-exist', '.']|[0. 0. 0. ... 0. 0. 0.]|0.3639271855354309|3.0
0|Very little music or anything to speak of.|-0.5|0.8333333333333334|0.8333333333333334|The statement conveys a negative sentiment due to a lack of music or notable content, although the sentiment rating is not strongly negative and more specific details are needed for improvement.|['littl', 'music', 'anyth', 'speak', '.']|[0. 0. 0. ... 0. 0. 0.]|0.449319064617157|1.0
1|The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.|0.8666666666666667|0.8833333333333333|0.9333333333333332|The overall sentiment of the explanations is positive, as they describe the scene as the best and highlight a positive and captivating experience for the viewer.|['best', 'scene', 'movi', 'gerardo', 'tri', 'find', 'song', 'keep', 'run', 'head', '.']|[0. 0. 0. ... 0. 0. 0.]|0.6369780898094177|4.0
0|The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.|-0.8333333333333334|0.9|0.8666666666666667|The overall sentiment of the movie is strongly negative, supported by a high confidence rating and multiple mentions of lacking art, charm, and meaning, reinforcing the idea that it is empty.|['rest', 'movi', 'lack', 'art', ',', 'charm', ',', 'mean', '...', 'empti', ',', 'work', 'guess', 'empti', '.']|[0. 0. 0. ... 0. 0. 0.]|0.31282952427864075|3.0
0|Wasted two hours.|-0.8333333333333334|0.8666666666666667|0.9|"The sentiment score is significantly negative due to the clear expression of frustration and disappointment in the phrase ""wasted two hours,"" resulting in a high confidence rating."|['wast', 'two', 'hour', '.']|[0. 0. 0. ... 0. 0. 0.]|0.1720123589038849|4.0
1|Saw the movie today and thought it was a good effort, good messages for kids.|0.7333333333333334|0.8333333333333334|0.9|The movie is praised for its positive messages and effort, resulting in a positive overall sentiment and impact on children.|['saw', 'movi', 'today', 'thought', 'good', 'effort', ',', 'good', 'messag', 'kid', '.']|[0. 0. 0. ... 0. 0. 0.]|0.5784492492675781|4.0
0|A bit predictable.|-0.0333333333333333|0.8000000000000002|0.8333333333333334|"The explanations generally suggest a slightly negative sentiment due to the phrase ""a bit predictable,"" which implies a lack of surprise or originality, although the sentiment score of 0.2 indicates a slightly positive sentiment."|['bit', 'predict', '.']|[0. 0. 0. ... 0. 0. 0.]|0.5056994557380676|3.0
1|Loved the casting of Jimmy Buffet as the science teacher.|0.7666666666666666|0.9|0.8833333333333333|"The consensus among the explanations is that the sentiment towards the casting of Jimmy Buffet as the science teacher is highly positive, as indicated by the use of the word ""loved"" and the positive opinion expressed by the user."|['love', 'cast', 'jimmi', 'buffet', 'scienc', 'teacher', '.']|[0. 0. 0. ... 0. 0. 0.]|0.9239163398742676|4.0
